participant_id,ID,healthy1,healthy2,healthy3,unhealthy,know_1,coresim_1,trust_1,caring_1,invest_1,satisfaction_1,alternatives_1,mutuality_1,interdependence_1,commitment_1,understanding_1,validation_1,selfact_1,physicalneeds_1,selfreg_1,sepIDs_1,physicalattraction_1,emotionalattraction_2,security_1,db_db1,db_db2,db_db3,db_db4,db_db5,db_db6,db_db7,db_db8,db_db9,db_db10,db_db11,db_db12,db_db13,db_db14,db_db15,db_db16,db_db17,db_db18,V43,db_db19,db_db20,db_db21,db_db22,ECR_ecr1,ECR_ecr2,ECR_ecr3,ECR_ecr4,ECR_ecr5,ECR_ecr6,ECR_ecr7,V55,ECR_ecr8,ECR_ecr9,SIS_SIS1,SIS_SIS2,SIS_SIS3,SIS_SIS4,race,sex,gender,orient,status,status_6_TEXT,length,exclusive,Live,Q40,V73,Q55_1,db_db_23,ECR_ECR_11,age,completed_date_time,CountryofBirth,CurrentCountryofResidence,EmploymentStatus,FirstLanguage,Nationality,StudentStatus,time_taken,SIS,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,InsecureTotalMean,AvoidTotalMean,AnxiousTotalMean,AvoidxAnxious
,75,A healthy relationship is one where a man and a woman are married. The man is the head of the household and works to support his family. The woman is keeper at home and raises children. The husband loves the wife as Christ loved the church and the wife honors the husband.,I would know if either I or a friend or family member was in a healthy relationship if it lined up with what the Bible says a healthy relationship is.,"The husband, a man, works and supports his family and loves his wife. The wife will cook and clean and take care of the children, teaching them to love God and obey their father. Both husband and wife will love each other very much, but the husband will lead and the wife will follow his leadership.","If our relationship was not in accordance with what the Bible says about having a healthy, godly marriage.",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-41,16,50,50,6,6,6,6,5,6,2,6,3,5,2,7,3,7,1,5,2,5,NA,2,6,3,7,6,5,5,5,5,5,6,NA,7,4,1,1,1,1,white,1,male,straight,5,,150,1,1,,NA,NA,NA,NA,NA,,,,,,,,NA,1,2,3,3,3,5,5,6,7,4,4.222222222222222,3.5,5.666666666666667,19.833333333333336
,80,"Peoples bond, caring with trust and love. No hatred and no jealousy. Friends family and couples","They would be happy and not stressed about the person, wouldnâ€™t have mood swings and would be content and talk about the other in the relationship in a positive way","Love, sex, caring, forgiveness, happy and cuddling and touching and smiling","They would have mood swings, be secretive and deceiving. They would be unhappy and not talk about there relationship",50,20,50,50,50,50,50,23,20,-50,50,50,50,50,50,50,50,1,22,4,6,7,7,6,7,1,6,7,5,5,7,4,7,4,6,3,4,NA,6,4,7,7,6,7,7,7,1,1,1,NA,5,7,5,4,4,5,English,2,Female,Straight,3,,9,1,2,No it was clear and weâ€™re good questions that made me think about my relationship,NA,NA,NA,NA,NA,,,,,,,,NA,4.5,2,1,1,1,1,1,1,5,7,2.2222222222222223,1.1666666666666667,4.333333333333333,5.055555555555555
,200,Good communication. Working as a team,No arguments and happiness,Happiness. Teamwork. Communication. Compromise,Arguements. disagreements. Sadness. No trust,50,50,50,37,35,42,40,43,31,50,50,50,50,38,36,36,41,6,43,4,5,5,5,5,5,5,6,5,5,4,5,5,5,5,5,4,4,NA,5,3,5,5,6,7,7,7,1,1,1,NA,1,5,5,5,5,4,White,2,Female,Straight,3,,7,1,2,"No. 
Prolific id 5b8f905285482d0001f39aad",NA,27,2,6,NA,,,,,,,,NA,4.75,2,1,1,1,1,1,1,1,5,1.5555555555555556,1.1666666666666667,2.3333333333333335,2.7222222222222228
,355,"A relationship that has good communication, openness, honesty, respect and trust.",If we communicated on a regular basis. If we had good conversations and helped each other out when was required.,In a healthy relationship you want the best for the other person. You feel positive toward them. You do thoughtful things for each other. You think about them as an on going part of your life.,If you were always arguing and were abusive to each other. If you always lied to each other. If there was no respect. If you didn't enjoy eachothers company.,50,50,50,49,50,50,50,25,25,50,50,50,50,50,50,50,50,41,40,3,5,4,3,4,4,6,5,5,5,4,5,4,4,4,5,4,3,NA,3,3,4,5,6,6,6,5,2,2,3,NA,2,3,4,4,4,4,African,2,Female,Straight,5,,64,1,1,"Prolific ID
58343680ff446c00014fb3e6",NA,27,2,6,NA,,,,,,,,NA,4,2,2,2,3,2,2,3,2,3,2.3333333333333335,2.1666666666666665,2.6666666666666665,5.777777777777777
5396d1c1fdf99b1cf6eb7484,322,"One that benefits and strengthens both parties, that makes each person an even better version of themselves, but where the two parties are not reliant or dependent on each other for their emotional or social wellbeing.","If the people had interests outside their relationship, if the people talked about topics unrelated to their partner, if the people looked happy when their partner is mentioned.","Mutual respect. Mutual trust. Caring about and contributing to each other's emotional, social and physical well-being. Playing an active role in each other's lives.",If one partner deferred to their partner's opinions too often. If one partner looked uneasy when their partner was mentioned. If the partner had few interests outside the relationship.,42,32,40,32,37,25,9,0,13,34,27,38,29,3,16,40,19,26,44,3,6,6,5,5,4,3,5,4,6,2,4,5,3,2,5,3,5,NA,3,5,4,6,6,5,4,5,4,3,5,NA,5,6,3,3,5,4,Mixed,2,Female,Heterosexual,1,,NA,NA,NA,,NA,27,2,6,27,23:19:29,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,No,583.001,3.75,2,3,4,3,4,3,5,5,6,3.888888888888889,3.1666666666666665,5.333333333333333,16.888888888888886
54ce8174fdf99b794176a16f,303,"One in which both partners are equal, trust each other, and treat each other with respect","It would be characterised by mutual love, support and respect","Love, affection, sharing thoughts with each other, feeling happiness in each other's company, respecting each other, wanting to make each other happy","Love, support or respect would be one-sided or absent",43,18,50,48,40,45,45,45,45,45,45,50,45,38,50,40,30,47,30,3,6,5,6,3,5,4,6,4,5,3,5,3,3,3,6,3,3,NA,3,6,3,6,7,7,7,2,5,5,2,NA,2,2,4,4,3,4,Caucasian,2,Female,Heterosexual,1,,NA,NA,NA,No,NA,27,3,6,40,23:16:26,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Yes,616.057,3.75,1,1,1,6,5,5,2,2,2,2.7777777777777777,3.1666666666666665,2,6.333333333333333
55751f55fdf99b52f5776737,218,A healthy relationship is one in which both partners are open with each other and able to communicate their intentions and desires clearly without manipulation.,"They'd be open to talk about their partner and relationship without fear, they'd be free to maintain their career, friendships, and connections with others without feeling fearful or as if their relationship is in jeopardy.",Feeling as if you can trust the other person with problems or tribulations. Feeling as if the other person enhances your life and generally makes you happy to be with them.,"If they became withdrawn, even when they were with me. If they became cagey or defensive whenever their partner is brought up. If they are unable to see or talk to me for significantly more time (obviously some loss of available time is expected). Any physical marks of harm.",25,50,30,40,50,50,-10,-5,20,5,10,45,35,-30,50,50,40,50,30,1,5,4,6,1,5,2,5,5,5,1,6,2,2,1,6,3,3,NA,1,5,2,7,6,6,6,6,1,2,2,NA,2,2,3,3,4,3,White,1,Male,Heterosexual,1,,NA,NA,NA,,NA,27,2,6,26,23:03:04,United States,United States,Part-Time,English,United States,,1293.463,3.25,2,2,2,2,1,2,2,2,2,1.8888888888888888,1.8333333333333333,2,3.6666666666666665
5586015efdf99b4204044ae1,280,One of mutual respect and equality; no person has more power or is too controlling. One in which people share the same interests and can talk to eachother,by the way the people in the relationship treat on another. Whether they listen respectfully to each other  and have affection,"Mutual respect
equality - no person in position of too much power 
shared conversations and respectful listening
showing interest in the other person by body language

","The body language such as facial expressions and they interact
One person interrupting conversations to correct the other 
not wanting to do things together",38,47,40,37,37,14,25,41,34,46,50,46,7,0,37,0,19,45,34,3,5,6,2,4,5,7,6,6,3,5,5,7,2,3,4,4,3,NA,5,3,7,4,6,6,6,6,5,6,7,NA,7,7,3,4,3,4,white British,2,female,straight,6,living together,240,1,1,"No, it was all pretty straightforward.",NA,27,2,6,59,23:12:24,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,No,1130.087,3.5,2,2,2,2,5,6,7,7,7,4.444444444444445,3.1666666666666665,7,22.166666666666664
5588c075fdf99b304ee562f5,27,A healthy relationship is one where the participants have love and mutual respect for each other.,"When it's clear that the people involved only want the best for each other, when disagreements are handled with care and respect, and where both are working towards a larger goal than just themselves/their own self-interest","Like I said in the previous prompt, one behavior that is part of a healthy relationship is people working towards a greater goal than just their individual self-interest. Another feeling/behavior is having mutual respect towards the other person, even in times of strife.","Sometimes it is hard to see when a relationship is not healthy. It's obvious, however, when fights get nasty or physical, when one person in the relationship is controlling or psychologically damaging to the other, when there is an imbalance of power in the relationship, etc.",36,41,25,31,45,40,41,40,20,21,20,50,50,0,37,34,25,38,33,5,4,5,5,5,5,3,5,4,4,4,5,5,3,3,5,4,3,NA,4,5,4,6,7,6,6,6,2,2,2,NA,2,3,3,4,2,3,White/Hispanic,2,she/her,straight,1,,NA,NA,NA,some of the questions were extremely repetitive,NA,NA,NA,NA,42,21:44:14,United States,United States,Part-Time,English,United States,No,512.809,3,1,2,2,2,2,2,2,2,3,2,1.8333333333333333,2.3333333333333335,4.277777777777778
558996f2fdf99b7ae47f5ed2,130,"One that gives at much as it receives, that is rewarding, not stressful, one that builds you up rather than tears you down.","If I'm questioning whether it is healthy or not, chances are, it's not. If it's negatively affecting my mental health then it's not healthy.","Not wondering what you're going to get back in return for doing something - rather doing that something because you want to. Feeling like you're both appreciated and respected and treating the other person in the same way. Trusting, not questioning and judgemental.","Same as before - if I'm questioning whether it's healthy, chances are, it's not. If it's negatively affecting my mental health then it's not.",20,20,50,50,50,50,25,25,25,0,10,20,40,10,10,40,0,10,20,1,4,4,7,2,3,6,5,3,4,2,5,3,1,1,7,2,1,NA,5,1,3,7,7,4,5,2,4,5,6,NA,6,6,3,2,3,2,White British,1,Male,Heterosexual,1,,NA,NA,NA,,NA,27,2,6,32,22:41:12,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,No,833.136,2.5,1,4,3,6,4,5,6,6,6,4.555555555555555,3.8333333333333335,6,23
